,index,Starring
0,0,Peter Falk
1,0,Andrew McCarthy
2,0,Nastassja Kinski
3,1,Mili Avital
4,1,Jason Scott Lee
5,2,Valerie Bertinelli
6,2,Jeffrey Nordling
7,3,Matt Frewer
8,3,Kenneth Welsh
9,4,Beau Bridges
10,4,Richard Thomas
11,0,Roma Downey
12,0,Tim Matheson
13,1,Thomas Gibson
14,1,Bai Ling
15,1,
16,1,Russell Wong
17,2,Matt Frewer
18,2,Kenneth Welsh
19,3,Tom Ward
20,3,Katy Carmichael
21,3,Eve Best
22,4,Matt Frewer
23,4,Kenneth Welsh
24,5,Miranda Richardson
25,5,Kristin Kreuk
26,5,Tyron Leitso
27,6,Neil Patrick Harris
28,6,Tyne Daly
29,6,Margaret Colin
30,7,Patricia Heaton
31,7,Rick Roberts
32,7,Peter Falk
33,8,Roma Downey
34,8,George Newbern
35,0,Liam Cunningham
36,0,Brana Bajic
37,1,Robin Dunne
38,1,James Garner
39,2,Tom Berenger
40,2,Luke Perry
41,2,Rachel Ward
42,3,Kieran Bew
43,3,Emily Hamilton
44,4,Matt Frewer
45,4,Kenneth Welsh
46,5,Lauren Holly
47,5,Judd Nelson
48,5,Nick Stabile
49,6,Bridget Fonda
50,6,Chelsea Hobbs
51,7,Linda Hamilton
52,8,William Devane
53,8,Meredith Baxter
54,0,Jennie Garth
55,0,Lance Henriksen
56,0,Bradley Cooper
57,1,Teri Polo
58,1,Andrew McCarthy
59,2,Katherine Hiegl
60,2,Dale Midkiff
61,3,Jean Smart
62,3,Carol Kane
63,3,Richard Gilliland
64,4,Tim Matheson
65,4,Sean Young
66,4,Kristen Bell
67,5,Burt Reynolds
68,5,Bruce Dern
69,5,Amy Jo Johnson
70,6,Martin Short
71,6,Christina Applegate
72,7,Kellie Martin
73,7,Clarence Williams III
74,8,Linda Blair
75,8,Adam Baldwin
76,9,Doris Roberts
77,9,Dana Delaney
78,10,Valerie Bertinelli
79,10,David Cubitt
80,10,Peter Falk
81,11,Tori Spelling
82,11,Gary Coleman
83,11,William Shatner
84,0,Lauren Holly
85,0,Costas Mandylor
86,1,Ann-Margret
87,1,Matthew Settle
88,1,
89,1,Shailene Woodley
90,2,Julie Benz
91,2,Marsha Mason
92,2,
93,2,Paul Le Mat
94,3,Annabeth Gish
95,3,Ed Begley Jr.
96,3,
97,3,Ethan Embry
98,4,Patrick Swayze
99,4,Alison Doody
100,5,Nastassja Kinski
101,5,Gérard Depardieu
102,5,
103,5,Michael York
104,6,Lou Diamond Phillips
105,6,Marina Black
106,6,
107,6,Lee Majors
108,7,John Larroquette
109,7,Karen Valentine
110,7,
111,7,French Stewart
112,8,Justine Bateman
113,8,Angie Everhart
114,8,
115,8,Andrew McCarthy
116,9,Megan Ward
117,9,David Proval
118,9,
119,9,Patty Duke
120,10,Parker Posey
121,10,Vincent Perez
122,11,January Jones
123,11,Logan Bartholomew
124,11,
125,11,Katherine Heigl
126,12,Kelli Williams
127,12,Patrick Muldoon
128,13,Tammy Blanchard
129,13,Katey Sagal
130,13,
131,13,Peter Falk
132,14,Elisa Donovan
133,14,Cheryl Ladd
134,15,Steve Guttenberg
135,15,Crystal Bernard
136,16,Meredith Baxter
137,16,Ronny Cox
138,16,
139,16,Natasha Gregson Wagner
140,0,Kellie Martin
141,0,Clarence Williams III
142,1,John Larroquette
143,1,Marta DuBois
144,2,Lea Thompson
145,2,Joe Penny
146,2,
147,2,William R. Moses
148,3,Betty White
149,3,Richard Thomas
150,3,
151,3,Amy Davidson
152,4,Kellie Martin
153,4,Clarence Williams III
154,5,John Larroquette
155,5,Marta DuBois
156,6,Jordan Bridges
157,6,Tori Spelling
158,6,Greg Germann
159,7,Lea Thompson
160,7,Joe Penny
